koi_period,koi_depth,koi_duration,koi_ror,koi_teq,koi_insol,label
4.859386384,6044.3,2.2757,0.355227,1114.0,364.23,0
10.526294577,9768.0,2.5211,0.095143,713.0,61.16,1
4.583520948,3812.1,2.7055,0.056287,1038.0,274.98,1
3.76181843,510.6,3.5176,0.025656,1121.0,372.62,1
8.20396958,1024.4,2.9667,0.033372,742.0,71.5,1
14.49645186,647.5,4.016,0.033377,613.0,33.48,1
6.54626149,655.9,2.75,0.024555,810.0,101.78,1
12.71809866,1149.4,3.0957,0.030871,562.0,23.6,1
36.06588163,1563.8,4.3246,0.035281,397.0,5.88,1
4.190425659,2877.4,2.8589,0.050076,1234.0,547.9,1
3.709870784,2020.3,3.0694,0.040686,1151.0,415.1,1
16.3297527,1187.5,6.271,0.034822,727.0,66.08,1
27.807566216,25391.0,4.21587,0.161479,554.0,22.24,1
80.8723469,3604.6,11.195,0.056129,452.0,9.88,1
3.166465862,4357.2,2.9381,0.348902,954.0,196.31,0
24.99324319,269.6,5.9409,0.015956,712.0,60.88,1
10.35533116,750.6,3.1775,0.024674,777.0,86.22,1
16.08518937,1442.4,3.984,0.040767,613.0,33.43,1
7.49018305,1123.6,2.7297,0.029843,753.0,76.06,1
36.2761238,1572.6,4.7865,0.035273,445.0,9.29,1
17.46087931,812.4,2.2641,0.026969,568.0,24.6,1
56.0560754,1626.0,4.685,0.036134,233.0,0.69,1
41.408316686,22839.0,5.0264,0.139516,453.0,9.93,1
5.715425977,908.1,2.5242,0.027348,850.0,123.03,1
49.18394185,1646.2,11.3364,0.036501,669.0,47.4,1
20.0261412,421.2,1.611,0.025305,559.0,23.14,1
10.44331991,1159.8,2.743,0.030416,667.0,46.94,0
2.237489571,315.8,1.8119,0.015942,1160.0,427.17,1
5.851520671,33004.0,3.11058,0.166109,901.0,155.89,0
3.167893418,781.2,2.1814,0.025513,1221.0,526.23,1
4.311780262,1154.0,2.7251,0.030716,1038.0,274.84,1
20.0504494,840.9,4.556,0.026569,622.0,35.44,1
9.76734503,569.1,1.6585,0.026407,791.0,92.46,1
190.3200468,1141.7,15.284,0.034654,426.0,7.8,1
2.861159894,1014.3,1.8832,0.039171,1355.0,797.1,0
26.44439337,1843.5,3.9783,0.038511,562.0,23.54,1
51.53997972,3644.3,6.3994,0.05435,450.0,9.67,1
5.902245782,702.3,2.9003,0.023909,926.0,173.74,1
2.382951591,391.6,1.8876,0.018369,1253.0,583.01,1
21.02250608,1772.5,4.1072,0.037466,521.0,17.48,1
3.219814777,488.2,2.0642,0.019702,998.0,234.93,1
5.912273234,961.4,2.3254,0.027826,585.0,27.72,1
8.98581901,881.3,2.8606,0.026527,509.0,15.9,1
20.5452375,218.5,2.517,0.017424,742.0,71.57,0
33.60123371,7425.9,4.4056,0.083298,495.0,14.22,1
6.76652928,450.7,2.9004,0.019382,845.0,120.48,1
4.347288783,451.6,2.1024,0.019273,1174.0,449.79,1
4.601811819,755.9,2.2607,0.02579,896.0,152.91,1
11.18719905,353.6,3.252,0.017042,667.0,46.65,1
4.220965778,2260.0,3.0854,0.046401,595.0,29.68,1
6.998099523,20285.0,2.0488,6.502574,853.0,125.22,0
5.95489993,1410.7,2.3892,0.033728,635.0,38.52,1
12.03987488,1250.6,2.7363,0.031605,502.0,15.06,1
20.83762895,439.0,2.3734,0.020532,418.0,7.24,1
8.8111022,401.1,5.0683,0.242511,1399.0,904.92,0
23.58917143,1200.7,5.073,0.040151,487.0,13.34,1
6.481633073,298.5,3.784,0.017836,1145.0,406.25,1
10.37168928,1254.9,3.035,0.033023,720.0,63.68,1
3.96996298,299.2,1.1757,0.018305,992.0,229.37,1
4.40841331,549.4,5.012,0.025379,1139.0,398.0,1
7.9426176,1590.7,6.703,0.046289,878.0,140.57,0
226.8904775,3136.4,7.558,0.055361,236.0,0.73,1
1.956811408,24905.0,2.1958,0.327759,1109.0,357.16,0
9.439459486,3036.1,2.8979,0.048953,686.0,52.32,1
11.523067458,507.3,3.8757,0.020288,927.0,174.81,1
20.47748843,1382.4,2.8364,0.034376,530.0,18.65,1
3.336123113,516.3,1.9616,0.020396,970.0,209.79,1
